"date"	"_id"	"time"	"ipAddress"	"uploadSpeed"	"downloadSpeed"	"ping"	"city"	"latitude"	"longitude"	"internetProvider"	"__v"	"userID"
"2020-10-26"	"5f96f623f4cd410cb8d67b65"	"16:15:10.199"	"199.21.137.7"	35.25	84.31	6.2				"Topsham Communications LLC"	0	
"2020-10-26"	"5f96f823cf080500042c0bd4"	"16:23:31.683"	"199.21.137.7"	0.11	26.5	37.02	"Orford, NH"	43.90912	-72.1321984	"Topsham Communications LLC"	0	
"2020-10-26"	"5f970041eee02e60cf71851e"	"16:58:15.722"		0	1967.4	1.55	"Orford, NH"	43.90912	-72.1321984		0	
"2020-10-26"	"5f9709a9d5d2110004381677"	"17:38:37.015"	"199.21.137.7"		26.93	35.5	"Orford, NH"	43.90912	-72.1321984	"Topsham Communications LLC"	0	
"2020-10-27"	"5f98341573bb8b0004de1fc3"	"14:51:52.954"	"199.21.137.7"		27.29	35.5	"Orford, NH"	43.905723699999996	-72.1381258	"Topsham Communications LLC"	0	
"2020-10-28"	"5f99ce950b80480004cab498"	"20:03:20.260"	"199.21.137.7"		18.59	35.43	"Beverly Hills, CA"	34.097449	-118.412061	"Topsham Communications LLC"	0	
"2020-11-12"	"5fadc38d03e3800004f18f01"	"23:21:39.984"	"198.55.239.130"		72.05	30	"Norwich, VT"	43.746101	-72.301792	"ValleyNet, Inc."	0	
"2020-11-12"	"5fadc3ee03e3800004f18f02"	"23:23:14.563"	"199.21.137.7"		26.56	36.41	"Agawam, MA"	42.06886	-72.622512	"Topsham Communications LLC"	0	
"2020-11-12"	"5fadc7b903e3800004f18f03"	"23:39:25.082"	"198.55.239.130"		35.36	33	"Norwich, VT"	43.72142409999973	-72.33228301999975	"ValleyNet, Inc."	0	
"2020-11-12"	"5fadc7cf03e3800004f18f04"	"23:39:47.572"	"64.222.124.81"		29.37	60	"Barnet, VT"	44.296715	-72.048927	"FAIRPOINT COMMUNICATIONS, INC."	0	
"2020-11-12"	"5fadca5903e3800004f18f05"	"23:50:28.442"	"64.222.108.206"		4.01	85	"Fairlee, VT"	43.920578	-72.162155	"FAIRPOINT COMMUNICATIONS, INC."	0	
"2020-11-13"	"5fade21d44366e0004601657"	"01:31:54.910"	"73.89.155.50"		159.52	47	"Merrimack, NH"	42.8837	-71.532	"Comcast Cable Communications, LLC"	0	
"2021-01-14"	"6000c271d90a0e00044c9b95"	"22:15:00.281"	"129.170.194.77"		177.88	43	"White River Junction, VT"	43.643721	-72.323568	"Dartmouth College"	0	
"2021-01-14"	"6000c6b93356b00004b94fa5"	"22:33:16.964"	"66.31.141.169"		335.72	37				"Comcast Cable Communications, LLC"	0	
"2021-01-14"	"6000c7203356b00004b94fa6"	"22:35:03.630"	"66.31.141.169"		231.17	38				"Comcast Cable Communications, LLC"	0	
"2021-01-14"	"6000c7a03356b00004b94fa7"	"22:37:11.542"	"66.31.141.169"		166.48	37				"Comcast Cable Communications, LLC"	0	
"2021-01-14"	"6000ca6b3356b00004b94fa8"	"22:49:05.674"	"66.31.141.169"		206.15	39				"Comcast Cable Communications, LLC"	0	
"2021-01-14"	"6000cf973356b00004b94faa"	"23:11:06.439"	"71.235.191.204"		58.08	50				"Comcast Cable Communications, LLC"	0	
"2021-01-14"	"6000cf993356b00004b94fab"	"23:11:10.539"	"64.223.167.108"		31.98	62					0	
"2021-01-14"	"6000cfc23356b00004b94fac"	"23:11:51.205"	"64.223.167.108"		41.81	42				"FAIRPOINT COMMUNICATIONS, INC."	0	
"2021-01-28"	"601303aabcbacd0004658230"	"18:34:05.516"	"71.255.130.67"		25.08	71.49	"Manchester, NH"	42.989613	-71.46477	"FAIRPOINT COMMUNICATIONS, INC."	0	
"2021-01-28"	"601339626af64f00047f5aae"	"22:23:18.689"	"66.31.141.169"		188.67	35	"White River Junction, VT"	43.643721	-72.323568	"Comcast Cable Communications, LLC"	0	
"2021-01-28"	"601340776af64f00047f5aaf"	"22:53:21.474"	"64.222.125.199"		3.97	51	"Fairlee, VT"	43.908517	-72.140846	"FAIRPOINT COMMUNICATIONS, INC."	0	
"2021-01-28"	"60134a3a97d792000463ea35"	"23:48:55.655"	"66.31.141.169"		223.78	37	"White River Junction, VT"			"Comcast Cable Communications, LLC"	0	
"2021-01-28"	"60134a6897d792000463ea36"	"23:36:06.866"	"198.55.239.119"		34.62	27	"Norwich, VT"	43.713163	-72.308157		0	
"2021-01-29"	"601372d5e981820004be7605"	"02:28:24.035"	"70.16.102.72"		22.51	44				"FAIRPOINT COMMUNICATIONS, INC."	0	
"2021-01-31"	"60173573e66f59000434dff7"	"22:55:32.936"	"199.21.137.7"		27.56	54.03	"Orford, NH"	43.911074299999996	-72.128801	"Topsham Communications LLC"	0	"fff9a6adc760a061c490ccbf5e21315e8bacc5289b85c2f0df0ac13291632411"
"2021-02-01"	"60181e634b33dd00040ade97"	"15:29:23.833"	"71.161.108.190"		54.01	29.22	"Bradford, VT"	43.99416	-72.128179	"FAIRPOINT COMMUNICATIONS, INC."	0	
"2021-02-01"	"60188ae486266a000438e6b5"	"23:12:25.880"	"73.238.98.149"		152.21	40	"White River Junction, VT"	43.643721	-72.323568		0	
"2021-02-03"	"601a02c695491d0004b32bce"	"01:55:58.821"	"206.214.224.41"		57.72	116	"Hillsboro, OR"	45.5954621	-122.94962939999999	"Google, LLC"	0	
"2021-02-03"	"601a030c95491d0004b32bcf"	"01:57:14.245"	"206.214.224.41"		91.25	115	"Hillsboro, OR"	45.5954627	-122.94962319999999	"Google, LLC"	0	
"2021-02-03"	"601a033695491d0004b32bd0"	"01:58:00.020"	"206.214.224.41"		51.52	145	"Hillsboro, OR"	45.5954625	-122.94962799999999	"Google, LLC"	0	
"2021-02-03"	"601ad046c303cd0004350afa"	"16:32:33.977"	"64.223.104.185"		4.77	43	"Fairlee, VT"	43.913863	-72.186475	"FAIRPOINT COMMUNICATIONS, INC."	0	
"2021-02-06"	"601eccfa18867002140a03b1"	"17:08:32.313"	"199.21.137.7"		3278.91	1.16	"Orford, NH"	43.898184	-72.080259	"Topsham Communications LLC"	0	"f0fed004184b814ea26458ebe5dced00c2f7dcf634cebc48f602a1711c097191"
"2021-02-06"	"601ed4725a0fa5490fbf0fcf"	"17:39:41.897"	"199.21.137.7"		3120.11	1.22	"Orford, NH"	43.911074299999996	-72.128801	"Topsham Communications LLC"	0	"f0fed004184b814ea26458ebe5dced00c2f7dcf634cebc48f602a1711c097191"
"2021-02-07"	"601f2f581a3f341648b0fd2e"	"00:07:42.404"	"199.21.137.7"		1759.66	6.86	"Orford, NH"	43.905265	-72.13708	"Topsham Communications LLC"	0	"f0fed004184b814ea26458ebe5dced00c2f7dcf634cebc48f602a1711c097191"
"2021-02-07"	"60204fb1baea9600042f0058"	"20:37:55.976"	"199.21.137.7"		27.13	37.45	"Orford, NH"	43.898184	-72.080259	"Topsham Communications LLC"	0	"24bd7e39b82ed0660ed6f85d827d9ed9866a85ef7f06c85dbda5b48367b32360"
"2021-02-11"	"6025b67b9ce90a0004b36f93"	"22:57:50.160"	"199.21.137.7"		27.32	43.45	"Orford, NH"	43.898184	-72.080259	"Topsham Communications LLC"	0	"undefined"
"2021-02-12"	"602701fe0c9ece0004d5d784"	"22:32:07.058"	"64.223.160.4"		7.38	67	"Fairlee, VT"	43.913863	-72.186475	"FAIRPOINT COMMUNICATIONS, INC."	0	
"2021-02-16"	"602be25fb2720000046bf3b0"	"15:18:36.587"	"70.20.34.216"		8.33	58	"Fairlee, VT"	43.913863	-72.186475	"FAIRPOINT COMMUNICATIONS, INC."	0	
"2021-02-18"	"602ed2ae9a9b9a0004e35c17"	"20:48:24.314"	"70.20.40.133"		8.57	58	"Fairlee, VT"	43.913863	-72.186475	"FAIRPOINT COMMUNICATIONS, INC."	0	
"2021-03-06"	"6043c5eddfa4de000475ab29"	"18:11:39.564"	"64.223.120.193"		21.78	35	"Barnet, VT"	44.31447	-72.095652	"FAIRPOINT COMMUNICATIONS, INC."	0	
"2021-03-11"	"604a9ff2939bf30004a7dc2c"	"22:55:33.350"	"199.21.137.7"		26.23	41.06	"Orford, NH"	43.898184	-72.080259	"Topsham Communications LLC"	0	"undefined"
"2021-03-11"	"604aaa08fa1c0c000489d937"	"23:38:34.852"	"129.170.195.77"		189.85	50.11	"White River Junction, VT"	43.643721	-72.323568		0	
"2021-03-12"	"604ac50e048f0f000488dad1"	"01:33:52.395"	"24.2.150.178"		126.85	33.1	"Lebanon, NH"	43.642425	-72.250595	"Comcast Cable Communications, LLC"	0	
"2021-03-13"	"604c0deda3826f0004ec03fc"	"00:57:01.735"	"198.55.233.96"		18.59	44	"East Thetford, VT"	43.807827	-72.208497		0	
"2021-03-15"	"604f19b043f3470004f49a53"	"08:23:55.014"	"24.2.150.178"		153.7	41	"Lebanon, NH"	43.664858927015054	-72.25600089987009	"Comcast Cable Communications, LLC"	0	
"2021-03-15"	"604f3457e73769000401a06e"	"10:17:50.384"	"24.2.150.178"		166.99	37.36				"Comcast Cable Communications, LLC"	0	
"2021-03-15"	"604f88f25f8b6700049d7cb3"	"16:18:35.561"	"64.223.108.212"		3.43	65	"Fairlee, VT"	43.913863	-72.186475	"FAIRPOINT COMMUNICATIONS, INC."	0	
"2021-03-15"	"604fa96107e68a0004f2fde1"	"18:36:49.450"	"71.235.24.142"		182.42	40.33	"Williston, VT"	44.4058162	-73.05384769999999	"Comcast Cable Communications, LLC"	0	
"2021-03-15"	"604fa97e07e68a0004f2fde2"	"18:37:37.178"	"71.235.24.142"		173.78	38.36	"Richmond, VT"	44.405247	-72.992905	"Comcast Cable Communications, LLC"	0	
"2021-03-15"	"604fc5efa82ceb00043b2b16"	"20:39:00.823"	"24.2.150.178"		155.7	36	"Lebanon, NH"	43.66492219736368	-72.25615189491744	"Comcast Cable Communications, LLC"	0	
"2021-03-15"	"604fc62ba82ceb00043b2b17"	"20:39:54.740"	"174.242.75.10"		25.41	58	"Lebanon, NH"	43.66486169163269	-72.25598003135828	"Comcast Cable Communications, LLC"	0	
"2021-03-17"	"60523d4132600200041827af"	"17:32:31.683"	"64.223.108.212"		9.13	60	"Fairlee, VT"	43.908517	-72.140846	"FAIRPOINT COMMUNICATIONS, INC."	0	
"2021-03-17"	"60527928028a3e0004890601"	"21:48:10.139"	"199.21.137.7"		27.48	46.59	"Orford, NH"	43.898184	-72.080259	"Topsham Communications LLC"	0	"undefined"
"2021-03-18"	"60529922d6d5b9000404f76d"	"00:04:40.018"	"24.2.150.178"		174.56	35.34				"Comcast Cable Communications, LLC"	0	
"2021-03-19"	"6054c07ad10b750004727693"	"15:16:54.418"	"199.21.140.43"		5.35	135.32	"Corinth, VT"	44.031934	-72.296007	"Topsham Communications LLC"	0	
"2021-03-21"	"605781da3fdfbf0004ae5628"	"17:26:42.014"	"24.2.150.178"		169.87	36.05	"Lebanon, NH"	43.642425	-72.250595	"Comcast Cable Communications, LLC"	0	
